model,seed,fold,params_30,params_60,params_120
ridge@binned,3,0,"{""alpha"": 10.0}","{""alpha"": 1.0}","{""alpha"": 10.0}"
random_forest@binned,3,0,"{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@binned,3,0,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
ridge@highres,3,1,"{""alpha"": 1000.0}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
svr_rbf@highres,3,1,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,3,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@highres,3,1,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
lightgbm@highres,3,1,"{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.1, ""num_leaves"": 31}"
xgboost@highres,3,1,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 6}","{""learning_rate"": 0.05, ""max_depth"": 3}"
catboost@highres,3,1,"{""learning_rate"": 0.05, ""depth"": 6}","{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 6}"
ridge@binned,3,1,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 1000.0}"
random_forest@binned,3,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@binned,3,1,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
ridge@highres,3,2,"{""alpha"": 100.0}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
svr_rbf@highres,3,2,"{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}"
random_forest@highres,3,2,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@highres,3,2,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}"
lightgbm@highres,3,2,"{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 15}"
xgboost@highres,3,2,"{""learning_rate"": 0.05, ""max_depth"": 6}","{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}"
catboost@highres,3,2,"{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 6}","{""learning_rate"": 0.05, ""depth"": 4}"
ridge@binned,3,2,"{""alpha"": 0.01}","{""alpha"": 1000.0}","{""alpha"": 100.0}"
random_forest@binned,3,2,"{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 1}"
hist_gbm@binned,3,2,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
ridge@highres,3,3,"{""alpha"": 1000.0}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
svr_rbf@highres,3,3,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}"
random_forest@highres,3,3,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 1}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}"
hist_gbm@highres,3,3,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
lightgbm@highres,3,3,"{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 15}"
xgboost@highres,3,3,"{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 6}"
catboost@highres,3,3,"{""learning_rate"": 0.05, ""depth"": 6}","{""learning_rate"": 0.1, ""depth"": 6}","{""learning_rate"": 0.1, ""depth"": 6}"
ridge@binned,3,3,"{""alpha"": 1000.0}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
random_forest@binned,3,3,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
hist_gbm@binned,3,3,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
ridge@highres,3,4,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,3,4,"{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,3,4,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@highres,3,4,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
lightgbm@highres,3,4,"{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 31}"
xgboost@highres,3,4,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 6}","{""learning_rate"": 0.1, ""max_depth"": 6}"
catboost@highres,3,4,"{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 4}"
ridge@binned,3,4,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 10.0}"
random_forest@binned,3,4,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@binned,3,4,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
ridge@highres,4,0,"{""alpha"": 1000.0}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
svr_rbf@highres,4,0,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,4,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@highres,4,0,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}"
lightgbm@highres,4,0,"{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 31}"
xgboost@highres,4,0,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 6}"
catboost@highres,4,0,"{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 6}","{""learning_rate"": 0.05, ""depth"": 4}"
ridge@binned,4,0,"{""alpha"": 100.0}","{""alpha"": 1000.0}","{""alpha"": 100.0}"
random_forest@binned,4,0,"{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@binned,4,0,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
ridge@highres,4,1,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,4,1,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,4,1,"{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@highres,4,1,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
lightgbm@highres,4,1,"{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 31}"
xgboost@highres,4,1,"{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 6}"
catboost@highres,4,1,"{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 6}","{""learning_rate"": 0.1, ""depth"": 4}"
ridge@binned,4,1,"{""alpha"": 10.0}","{""alpha"": 1.0}","{""alpha"": 0.1}"
random_forest@binned,4,1,"{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@binned,4,1,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
ridge@highres,4,2,"{""alpha"": 100.0}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
svr_rbf@highres,4,2,"{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 10.0, ""gamma"": 0.01, ""epsilon"": 0.05}"
random_forest@highres,4,2,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@highres,4,2,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
lightgbm@highres,4,2,"{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 15}"
xgboost@highres,4,2,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}"
catboost@highres,4,2,"{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 6}"
ridge@binned,4,2,"{""alpha"": 0.01}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
random_forest@binned,4,2,"{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@binned,4,2,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
ridge@highres,4,3,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,4,3,"{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.2}"
random_forest@highres,4,3,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@highres,4,3,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
lightgbm@highres,4,3,"{""learning_rate"": 0.1, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 31}"
xgboost@highres,4,3,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}"
catboost@highres,4,3,"{""learning_rate"": 0.1, ""depth"": 6}","{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 4}"
ridge@binned,4,3,"{""alpha"": 1.0}","{""alpha"": 10.0}","{""alpha"": 10.0}"
random_forest@binned,4,3,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 1}"
hist_gbm@binned,4,3,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
ridge@highres,4,4,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,4,4,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 10.0, ""gamma"": 0.01, ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}"
random_forest@highres,4,4,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 1}"
hist_gbm@highres,4,4,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}"
lightgbm@highres,4,4,"{""learning_rate"": 0.1, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 15}"
xgboost@highres,4,4,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}"
catboost@highres,4,4,"{""learning_rate"": 0.1, ""depth"": 6}","{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 4}"
ridge@binned,4,4,"{""alpha"": 10.0}","{""alpha"": 0.01}","{""alpha"": 10.0}"
random_forest@binned,4,4,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 1}"
hist_gbm@binned,4,4,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
ridge@highres,5,0,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,5,0,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}"
random_forest@highres,5,0,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@highres,5,0,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
lightgbm@highres,5,0,"{""learning_rate"": 0.1, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 15}"
xgboost@highres,5,0,"{""learning_rate"": 0.1, ""max_depth"": 6}","{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}"
catboost@highres,5,0,"{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 6}","{""learning_rate"": 0.05, ""depth"": 4}"
ridge@binned,5,0,"{""alpha"": 1.0}","{""alpha"": 10.0}","{""alpha"": 10.0}"
random_forest@binned,5,0,"{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@binned,5,0,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
ridge@highres,5,1,"{""alpha"": 1000.0}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
svr_rbf@highres,5,1,"{""C"": 1.0, ""gamma"": 0.01, ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": 0.01, ""epsilon"": 0.05}"
random_forest@highres,5,1,"{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@highres,5,1,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
lightgbm@highres,5,1,"{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 15}"
xgboost@highres,5,1,"{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 6}"
catboost@highres,5,1,"{""learning_rate"": 0.05, ""depth"": 6}","{""learning_rate"": 0.05, ""depth"": 6}","{""learning_rate"": 0.1, ""depth"": 4}"
ridge@binned,5,1,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 1000.0}"
random_forest@binned,5,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
