family,increment,with,without,seed_pos_frac,dR2_60,R2_lo,R2_hi,dRMSE_60,RMSE_lo,RMSE_hi,perm_p,half_proj,half_floor,seed_share,equiv_attainable,seeds_needed_for_equiv,holm_p,verdict,verdict_shared_rule,half_obs
primary,readout: attention pooling vs GAP (strict generalization of it),cnn_gru__concat+attnpool,cnn_gru__concat,0.5333333333333333,0.010997540614648076,-0.007975432689575549,0.029742905349765095,-0.4448422668456142,-1.3644655460200967,0.25285451215583105,0.37736226377362264,0.021266677254037202,0.016749220870321567,0.3797169141534483,False,,0.7547245275472453,INCONCLUSIVE,INCONCLUSIVE,0.018859169019670323
primary,"encoder: transformer block vs 2nd conv block, same Conv1D(d,5) front-end",cnn_sa__concat,cnn__concat,0.8,0.013836661581845674,-0.007150967914845083,0.0368022625762818,-0.5645148653974488,-1.411139648856958,0.24525586546547112,0.19408059194080593,0.020314888301883164,0.013056640415683132,0.5869201508258258,False,,0.5822417758224178,INCONCLUSIVE,INCONCLUSIVE,0.021976615245563443
primary,cross-modal: meal branch reads CGM vs meal self-attn (param-matched),cnn_gru__coattn,cnn_gru__coattn_ctl,0.5333333333333333,0.005433977441528716,-0.0074912318563872,0.01890302602473142,-0.21192076840399116,-0.7493605606108849,0.2947564319295546,0.42505749425057493,0.013520393032038372,0.0,1.0504982731781893,True,13.0,0.7547245275472453,NEGLIGIBLE,NEGLIGIBLE,0.01319712894055931
secondary,does the readout effect generalize to a 2nd encoder (pre-declared guard),cnn__concat+attnpool,cnn__concat,0.4,-0.005608176862324331,-0.01975799600175493,0.008158888779801208,0.23920434706054058,-0.3081773403062332,0.7449446080452122,0.4380561943805619,0.015334976167004622,0.0,1.2658612405317864,True,18.0,1.0,NEGLIGIBLE,NEGLIGIBLE,0.013958442390778068
secondary,"decomposition: the extra meal branch + wider head, WITHOUT the direction",cnn_gru__coattn_ctl,cnn_gru__xattn,0.6,0.00481307688295534,-0.011526859883110883,0.01908647520146059,-0.18260188657777263,-0.7380273174101845,0.42834568474424634,0.5462453754624538,0.014899803819909659,0.002418356055758258,0.9736561415161625,True,15.0,1.0,NEGLIGIBLE,NEGLIGIBLE,0.015306667542285737
secondary,UNMATCHED: branch + direction together (the naive bidirectionality contrast),cnn_gru__coattn,cnn_gru__xattn,0.5333333333333333,0.010247054324484056,-0.005994645889563228,0.025115569126228133,-0.3945226549817638,-1.0363401120317723,0.20934209883377256,0.2298770122987701,0.015853882787081747,0.006394853184960278,0.8372991317512574,True,59.0,1.0,INCONCLUSIVE,INCONCLUSIVE,0.01555510750789568
secondary,UNMATCHED: attention replacing the locality prior (architectural alternative),sa__concat,cnn__concat,0.8666666666666667,0.02358106145158203,0.0105410459621534,0.03902429562755163,-0.9542403368478252,-1.4962564010743593,-0.38386371967578475,0.0024997500249975004,0.014114441071627995,0.004538587430142813,0.8966015467239429,False,,0.024997500249975005,ADDS(small),ADDS(small),0.014241624832699116
secondary,co-attention on top of a self-attention encoder,cnn_sa__coattn,cnn_sa__concat,0.6,0.019467439248684826,0.004594744112733135,0.03659704625673748,-0.801265872784245,-1.4230874758872643,-0.1857285633313962,0.0292970702929707,0.017658398934234796,0.009750004304770906,0.695135422121681,False,,0.2636736326367363,INCONCLUSIVE,INCONCLUSIVE,0.016001151072002173
secondary,bridge: self-attn encoder vs the old reference,cnn_sa__concat,cnn_gru__concat,0.7333333333333333,0.01694631526812374,-0.0032383696734222395,0.03676551442662323,-0.694390648940237,-1.4613314499859906,0.07710834332804893,0.0866913308669133,0.019181634099311628,0.0105513698569952,0.6974156315136414,False,,0.6068393160683931,INCONCLUSIVE,INCONCLUSIVE,0.020001942050022734
secondary,REPLICATION: cnn vs cnn_gru (was +0.030 INCONCL at S=5),cnn__concat,cnn_gru__concat,0.6,0.003109653686278063,-0.011446086397462361,0.016695500378321234,-0.12987578354278828,-0.7153642250358979,0.40009541238292423,0.694030596940306,0.014636409828640784,0.004430208340328073,0.9083823437090865,True,11.0,1.0,NEGLIGIBLE,NEGLIGIBLE,0.014070793387891797
